r	65536
r	65540
r	65544
r	65548
r	65552
r	65556
r	65560
w	70984
r	65564
r	65568
r	65560
w	70992
r	65564
r	65568
r	65560
w	71000
r	65564
r	65568
r	65560
w	71008
r	65564
r	65568
r	65560
w	71016
r	65564
r	65568
r	65560
w	71024
r	65564
r	65568
r	65560
w	71032
r	65564
r	65568
r	65560
w	71040
r	65564
r	65568
r	65560
w	71048
r	65564
r	65568
r	65560
w	71056
r	65564
r	65568
r	65572
r	65576
r	65580
r	65956
r	65960
r	65964
r	65968
r	65972
r	66276
r	66280
w	268435439
r	66284
r	70968
r	66288
w	268435431
r	66292
r	66296
r	69592
r	66300
w	268435423
r	66304
w	268435415
r	66308
w	268435407
r	66312
w	268435447
r	66316
r	66320
r	66324
r	66328
r	66532
r	66536
w	69592
r	66540
r	66332
r	69608
r	66336
r	66340
r	66344
r	66408
r	66412
r	66416
r	66420
r	66424
w	69608
r	66428
r	66432
w	69616
r	66436
r	66440
r	268435447
r	66444
r	268435439
r	66448
r	268435431
r	66452
r	268435423
r	66456
r	268435415
r	66460
r	268435407
r	66464
r	66468
r	65584
r	66116
r	66120
w	268435439
r	66124
r	66128
r	66132
w	268435423
r	66136
r	66140
r	66144
r	66148
w	268435431
r	66152
w	268435447
r	66156
r	66160
r	66164
r	66168
r	66192
r	65608
r	66196
r	66200
r	66204
r	66208
r	66212
r	66216
r	66220
r	66224
r	66228
r	66232
r	67952
r	66236
r	66240
r	66244
r	65804
r	65808
r	65812
w	268435415
r	65816
r	65820
r	65844
r	65848
r	65852
r	69072
r	65856
r	65860
r	268435415
r	65864
r	65868
r	65664
r	65668
r	65672
r	65676
r	65680
r	65684
r	65688
r	65692
r	65696
r	65700
r	65724
r	66248
r	66252
r	268435447
r	66256
r	268435439
r	66260
r	268435431
r	66264
r	268435423
r	66268
r	66272
r	65588
r	268435455
r	65592
r	65596
r	65600
r	65892
r	65896
w	268435447
r	65900
r	65904
r	65908
w	268435435
r	65912
r	65916
w	268435431
r	65920
r	268435435
r	65924
r	268435431
r	65928
r	65932
w	268435435
r	65936
r	65940
r	65944
r	268435447
r	65948
r	65952
r	65604
r	65976
r	65980
r	65984
w	268435439
r	65988
w	268435447
r	65992
r	65996
r	66552
r	66556
w	268435391
r	66560
r	70968
r	66564
w	268435399
r	66568
r	66572
w	268435415
r	66576
w	268435407
r	66580
w	268435383
r	66584
w	268435367
r	66588
w	268435359
r	66592
w	268435431
r	66596
w	268435423
r	66600
w	268435375
r	66604
w	268435351
r	66608
w	268435343
r	66612
r	66616
r	66620
r	66624
r	66628
r	66632
r	66636
r	69592
r	66640
r	66644
r	66648
r	69608
r	66652
r	66656
r	66692
r	66696
r	66700
r	69608
r	66704
r	66708
r	66712
r	66716
r	69616
r	66720
r	66908
w	69608
r	66912
r	66728
r	66732
r	70384
r	66736
r	66740
r	69608
r	66744
r	66748
r	66900
r	66024
r	66028
w	268435327
r	66032
w	268435319
r	66036
r	66040
r	66044
r	66048
r	66052
r	66056
r	66060
w	268435335
r	66064
r	66068
r	66072
r	66076
r	67960
r	66080
r	66084
r	66088
r	65728
r	65732
w	268435295
r	65736
r	70992
r	65740
w	268435303
r	65744
r	65748
r	65612
r	65616
r	65620
r	65624
r	65628
r	65632
r	65636
r	65660
r	65752
r	65756
r	65760
r	65780
r	65784
w	70992
r	65788
r	268435303
r	65792
r	268435295
r	65796
r	65800
r	66092
r	66096
r	268435335
r	66100
r	268435327
r	66104
r	268435319
r	66108
r	66112
r	65608
r	66904
r	66776
r	69608
r	66780
r	66784
r	69592
r	66788
r	66792
r	66796
r	66800
r	66844
r	268435431
r	66848
r	268435423
r	66852
r	268435415
r	66856
r	268435407
r	66860
r	268435399
r	66864
r	268435391
r	66868
r	268435383
r	66872
r	268435375
r	66876
r	268435367
r	66880
r	268435359
r	66884
r	268435351
r	66888
r	268435343
r	66892
r	66896
r	66000
r	70968
r	66004
r	69176
r	66008
r	66016
r	66020
r	67904
r	67908
r	67912
r	67916
r	67920
